C,class_weight,validation_macro_f1
0.5,none,0.6604942268060846
1.0,none,0.6555958818225908
2.0,none,0.6548938090840707
0.5,balanced,0.6677002918189109
1.0,balanced,0.6571210709974245
2.0,balanced,0.651560095182998
