model,validation_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,training_time_seconds,inference_time_seconds,parameters,model_size_mb
TF-IDF + LinearSVC,0.6677002918189109,0.6120970367958319,0.6019417075884019,0.6171976650753478,0.6078662756693148,0.6124207462374017,71.58075475692749,0.016381502151489258,540003,9.744168281555176
TextCNN ensemble,0.6571421192998058,0.5990719635297949,0.5878927653852158,0.5961860103872056,0.5894467907605994,0.5986459586784108,129.8154318332672,1.4015922546386719,8242329,31.453279495239258
BiGRU ensemble,0.6722508270806054,0.6082709215239336,0.5982808546720008,0.6020751060638926,0.5996166699113067,0.6079254850705954,326.8167107105255,1.690140962600708,13096404,49.969576835632324
BERTweet ensemble,0.7449163389995057,0.7177629436665581,0.7097751926872643,0.7303634426919663,0.7184293541576312,0.7172772573504325,3202.0206546783447,141.27384853363037,404706825,1544.0747022628784
